id,skill_name,period_type,period_start,mention_count,delta_pct_vs_prev,is_demo
199,Node.js,week,2026-07-06,132,-2.22,1
200,Node.js,week,2026-07-13,130,-1.52,0
201,CSS,week,2026-05-25,146,,1
202,CSS,week,2026-06-01,143,-2.05,1
203,CSS,week,2026-06-08,140,-2.1,1
204,CSS,week,2026-06-15,137,-2.14,1
205,CSS,week,2026-06-22,134,-2.19,1
206,CSS,week,2026-06-29,131,-2.24,1
207,CSS,week,2026-07-06,128,-2.29,1
208,CSS,week,2026-07-13,125,-2.34,0
209,Kotlin,week,2026-05-25,114,,1
210,Kotlin,week,2026-06-01,115,0.88,1
211,Kotlin,week,2026-06-08,116,0.87,1
212,Kotlin,week,2026-06-15,117,0.86,1
213,Kotlin,week,2026-06-22,119,1.71,1
214,Kotlin,week,2026-06-29,120,0.84,1
215,Kotlin,week,2026-07-06,122,1.67,1
216,Kotlin,week,2026-07-13,123,0.82,0
217,JIRA,week,2026-05-25,141,,1
218,JIRA,week,2026-06-01,137,-2.84,1
219,JIRA,week,2026-06-08,134,-2.19,1
220,JIRA,week,2026-06-15,130,-2.99,1
221,JIRA,week,2026-06-22,127,-2.31,1
222,JIRA,week,2026-06-29,123,-3.15,1
223,JIRA,week,2026-07-06,120,-2.44,1
224,JIRA,week,2026-07-13,117,-2.5,0
225,C,week,2026-05-25,134,,1
226,C,week,2026-06-01,131,-2.24,1
227,C,week,2026-06-08,128,-2.29,1
228,C,week,2026-06-15,126,-1.56,1
229,C,week,2026-06-22,123,-2.38,1
230,C,week,2026-06-29,120,-2.44,1
231,C,week,2026-07-06,118,-1.67,1
232,C,week,2026-07-13,115,-2.54,0
233,Spring Boot,week,2026-05-25,93,,1
234,Spring Boot,week,2026-06-01,95,2.15,1
235,Spring Boot,week,2026-06-08,97,2.11,1
236,Spring Boot,week,2026-06-15,99,2.06,1
237,Spring Boot,week,2026-06-22,101,2.02,1
238,Spring Boot,week,2026-06-29,104,2.97,1
239,Spring Boot,week,2026-07-06,106,1.92,1
240,Spring Boot,week,2026-07-13,108,1.89,0
241,Tensorflow,week,2026-05-25,39,,1
242,Tensorflow,week,2026-06-01,45,15.38,1
243,Tensorflow,week,2026-06-08,53,17.78,1
244,Tensorflow,week,2026-06-15,61,15.09,1
245,Tensorflow,week,2026-06-22,70,14.75,1
246,Tensorflow,week,2026-06-29,81,15.71,1
247,Tensorflow,week,2026-07-06,94,16.05,1
248,Tensorflow,week,2026-07-13,108,14.89,0
249,Linux,week,2026-05-25,121,,1
250,Linux,week,2026-06-01,118,-2.48,1
251,Linux,week,2026-06-08,116,-1.69,1
252,Linux,week,2026-06-15,114,-1.72,1
253,Linux,week,2026-06-22,111,-2.63,1
254,Linux,week,2026-06-29,109,-1.8,1
255,Linux,week,2026-07-06,107,-1.83,1
256,Linux,week,2026-07-13,105,-1.87,0
257,Android,week,2026-05-25,107,,1
258,Android,week,2026-06-01,106,-0.93,1
259,Android,week,2026-06-08,105,-0.94,1
260,Android,week,2026-06-15,104,-0.95,1
261,Android,week,2026-06-22,103,-0.96,1
262,Android,week,2026-06-29,102,-0.97,1
263,Android,week,2026-07-06,101,-0.98,1
264,Android,week,2026-07-13,100,-0.99,0
265,영업,week,2026-05-25,83,,1
266,영업,week,2026-06-01,85,2.41,1
267,영업,week,2026-06-08,87,2.35,1
268,영업,week,2026-06-15,89,2.3,1
269,영업,week,2026-06-22,91,2.25,1
270,영업,week,2026-06-29,94,3.3,1
271,영업,week,2026-07-06,96,2.13,1
272,영업,week,2026-07-13,98,2.08,0
273,Next.js,week,2026-05-25,31,,1
274,Next.js,week,2026-06-01,36,16.13,1
275,Next.js,week,2026-06-08,42,16.67,1
276,Next.js,week,2026-06-15,49,16.67,1
277,Next.js,week,2026-06-22,58,18.37,1
278,Next.js,week,2026-06-29,68,17.24,1
279,Next.js,week,2026-07-06,79,16.18,1
280,Next.js,week,2026-07-13,93,17.72,0
281,UI 디자인,week,2026-05-25,82,,1
282,UI 디자인,week,2026-06-01,83,1.22,1
283,UI 디자인,week,2026-06-08,84,1.2,1
284,UI 디자인,week,2026-06-15,86,2.38,1
285,UI 디자인,week,2026-06-22,87,1.16,1
286,UI 디자인,week,2026-06-29,89,2.3,1
287,UI 디자인,week,2026-07-06,90,1.12,1
288,UI 디자인,week,2026-07-13,92,2.22,0
289,마케팅 운영,week,2026-05-25,84,,1
290,마케팅 운영,week,2026-06-01,85,1.19,1
291,마케팅 운영,week,2026-06-08,85,0.0,1
292,마케팅 운영,week,2026-06-15,86,1.18,1
293,마케팅 운영,week,2026-06-22,87,1.16,1
294,마케팅 운영,week,2026-06-29,88,1.15,1
295,마케팅 운영,week,2026-07-06,88,0.0,1
296,마케팅 운영,week,2026-07-13,89,1.14,0
297,Microsoft 365,week,2026-05-25,79,,1
298,Microsoft 365,week,2026-06-01,80,1.27,1
299,Microsoft 365,week,2026-06-08,80,0.0,1
300,Microsoft 365,week,2026-06-15,81,1.25,1
301,Microsoft 365,week,2026-06-22,81,0.0,1
302,Microsoft 365,week,2026-06-29,82,1.23,1
303,Microsoft 365,week,2026-07-06,82,0.0,1
304,Microsoft 365,week,2026-07-13,83,1.22,0
305,Confluence,week,2026-05-25,92,,1
306,Confluence,week,2026-06-01,90,-2.17,1
307,Confluence,week,2026-06-08,88,-2.22,1
308,Confluence,week,2026-06-15,87,-1.14,1
309,Confluence,week,2026-06-22,85,-2.3,1
310,Confluence,week,2026-06-29,83,-2.35,1
311,Confluence,week,2026-07-06,82,-1.2,1
312,Confluence,week,2026-07-13,80,-2.44,0
313,마케팅 분석,week,2026-05-25,66,,1
314,마케팅 분석,week,2026-06-01,68,3.03,1
315,마케팅 분석,week,2026-06-08,70,2.94,1
316,마케팅 분석,week,2026-06-15,72,2.86,1
317,마케팅 분석,week,2026-06-22,74,2.78,1
318,마케팅 분석,week,2026-06-29,76,2.7,1
319,마케팅 분석,week,2026-07-06,78,2.63,1
320,마케팅 분석,week,2026-07-13,80,2.56,0
321,jQuery,week,2026-05-25,53,,1
322,jQuery,week,2026-06-01,48,-9.43,1
323,jQuery,week,2026-06-08,44,-8.33,1
324,jQuery,week,2026-06-15,40,-9.09,1
325,jQuery,week,2026-06-22,36,-10.0,1
326,jQuery,week,2026-06-29,33,-8.33,1
327,jQuery,week,2026-07-06,30,-9.09,1
328,jQuery,week,2026-07-13,27,-10.0,0
329,PHP,week,2026-05-25,134,,1
330,PHP,week,2026-06-01,114,-14.93,1
331,PHP,week,2026-06-08,96,-15.79,1
332,PHP,week,2026-06-15,82,-14.58,1
333,PHP,week,2026-06-22,69,-15.85,1
334,PHP,week,2026-06-29,59,-14.49,1
335,PHP,week,2026-07-06,50,-15.25,1
336,PHP,week,2026-07-13,42,-16.0,0
